id,step,recipe_id
1,Шаг 1 Луковицу почистите и разрежьте пополам. Выложите срезом вниз на сухую разогретую сковороду и немного подпеките лук.,1
2,"Шаг 2 Растопите сливочное масло в ковшике. Добавьте муку и жарьте до золотистого цвета, помешивая.",1
3,"Шаг 3 Налейте сливки и положите печёный лук и чёрный молотый перец. Перемешайте, чтобы не было комочков. Готовьте до загустения, периодически помешивая. Снимите соус с плиты и дайте ему постоять с луком минут 20-30. Затем достаньте лук и выбросьте.",1
4,"Шаг 4 Нарежьте филе курицы небольшими кусочками, грибы — слайсами. Разогрейте сковороду с растительным маслом, выложите филе, быстро обжарьте. Добавьте грибы, посолите и обжарьте до золотистой корочки, периодически помешивая.",1
5,"Шаг 5 Натрите сыр на крупной тёрке. Разложите курицу с грибами по кокотницам, залейте соусом, посыпьте тёртым сыром. Запекайте в разогретой до 180 ℃ духовке в течение примерно 15 минут. При подаче украсьте свежим базиликом.",1
6,Шаг 1 Луковицу почистите и разрежьте пополам. Выложите срезом вниз на сухую разогретую сковороду и немного подпеките лук.,2
7,"Шаг 2 Растопите сливочное масло в ковшике. Добавьте муку и жарьте до золотистого цвета, помешивая.",2
8,"Шаг 3 Налейте сливки и положите печёный лук и чёрный молотый перец. Перемешайте, чтобы не было комочков. Готовьте до загустения, периодически помешивая. Снимите соус с плиты и дайте ему постоять с луком минут 20-30. Затем достаньте лук и выбросьте.",2
9,"Шаг 4 Нарежьте филе курицы небольшими кусочками, грибы — слайсами. Разогрейте сковороду с растительным маслом, выложите филе, быстро обжарьте. Добавьте грибы, посолите и обжарьте до золотистой корочки, периодически помешивая.",2
10,"Шаг 5 Натрите сыр на крупной тёрке. Разложите курицу с грибами по кокотницам, залейте соусом, посыпьте тёртым сыром. Запекайте в разогретой до 180 ℃ духовке в течение примерно 15 минут. При подаче украсьте свежим базиликом.",2
11,Шаг 1 Овсяные хлопья залейте молоком.,3
12,"Шаг 2 Добавьте мёд, перемешайте, переложите в банку и оставьте на ночь в холодильнике.",3
13,"Шаг 3 Орехи нарежьте крупно, манго — кубиками.",3
14,"Шаг 4 Украсьте овсянку орехами и манго, по желанию полейте сверху небольшим количеством мёда.",3
15,"Шаг 1 Гречку хорошо промойте, залейте холодной водой в соотношении 1:2, посолите и отварите до готовности.",4
16,"Шаг 2 Лук почистите, нарежьте кубиками. Разогрейте сковороду с маслом, выложите лук и обжаривайте до прозрачности 5-7 минут.",4
17,"Шаг 3 Шампиньоны нарежьте пластинами и добавьте к луку. Насыпьте кориандр, посолите, поперчите по вкусу. Обжаривайте всё вместе 10-15 минут, периодически помешивая.",4
18,"Шаг 4 Выложите гречку к грибам. Перемешайте, прогрейте всё вместе ещё раз.",4
19,"Шаг 1 Гречку хорошо промойте, залейте холодной водой в соотношении 1:2, посолите и отварите до готовности.",5
20,"Шаг 2 Лук почистите, нарежьте кубиками. Разогрейте сковороду с маслом, выложите лук и обжаривайте до прозрачности 5-7 минут.",5
21,"Шаг 3 Шампиньоны нарежьте пластинами и добавьте к луку. Насыпьте кориандр, посолите, поперчите по вкусу. Обжаривайте всё вместе 10-15 минут, периодически помешивая.",5
22,"Шаг 4 Выложите гречку к грибам. Перемешайте, прогрейте всё вместе ещё раз.",5
23,"Шаг 1 Грибы нарежьте тонкими ломтиками. Разогрейте сковороду с растительным маслом и обжарьте грибы до золотистого цвета, периодически помешивая.",6
24,"Шаг 2 Добавьте фарш, тщательно перемешайте. Обжарьте всё вместе до выпаривания влаги и рассыпчатости фарша. Посолите, поперчите.",6
25,"Шаг 3 Макароны отварите в течение 5 минут в кипящей воде, слейте воду.",6
26,"Шаг 4 Смешайте яйца с молоком, посолите, поперчите. Добавьте мелко нарезанный чеснок. Перемешайте.",6
27,"Шаг 5 Выложите в форму для запекания половину фарша, затем половину макарон, оставшийся фарш и оставшиеся макароны.",6
28,Шаг 6 Залейте макароны с фаршем молочно-яичным соусом.,6
29,"Шаг 7 Посыпьте тёртым сыром. Запекайте в разогретой до 160 ℃ духовке в течение 20-30 минут, накрыв фольгой, до готовности.",6
30,"Шаг 1 Грибы нарежьте тонкими ломтиками. Разогрейте сковороду с растительным маслом и обжарьте грибы до золотистого цвета, периодически помешивая.",7
31,"Шаг 2 Добавьте фарш, тщательно перемешайте. Обжарьте всё вместе до выпаривания влаги и рассыпчатости фарша. Посолите, поперчите.",7
32,"Шаг 3 Макароны отварите в течение 5 минут в кипящей воде, слейте воду.",7
33,"Шаг 4 Смешайте яйца с молоком, посолите, поперчите. Добавьте мелко нарезанный чеснок. Перемешайте.",7
34,"Шаг 5 Выложите в форму для запекания половину фарша, затем половину макарон, оставшийся фарш и оставшиеся макароны.",7
35,Шаг 6 Залейте макароны с фаршем молочно-яичным соусом.,7
36,"Шаг 7 Посыпьте тёртым сыром. Запекайте в разогретой до 160 ℃ духовке в течение 20-30 минут, накрыв фольгой, до готовности.",7
37,"Шаг 1 Овощи помойте и почистите. Морковь и лук нарежьте кубиками среднего размера, чеснок — крупно.",8
38,"Шаг 2 Разогрейте в кастрюле 2 ст. ложки растительного масла. Выложите в неё морковь, лук и чеснок и обжаривайте, периодически помешивая, 3-5 минут.",8
39,Шаг 3 Нарежьте куриное филе кусочками среднего размера.,8
40,"Шаг 4 Положите филе в кастрюлю и готовьте, периодически помешивая, на среднем огне 7-8 минут. В конце посолите.",8
41,"Шаг 5 Картофель нарежьте кубиками среднего размера. Грибы очистите, промойте и нарежьте пластинами.",8
42,"Шаг 6 Положите картофель и грибы в кастрюлю с курицей и овощами, добавьте 2 лавровых листа и несколько горошин душистого перца. Залейте водой так, чтобы общий объём супа стал 3 л. Доведите до кипения и варите примерно 30 минут до размягчения овощей.",8
43,"Шаг 7 Добавьте плавленый сыр, разотрите о бортики кастрюли, чтобы расплавился, и прогрейте всё вместе.",8
44,Шаг 8 В конце добавьте рубленую петрушку.,8
45,"Шаг 1 Взбейте яйца с сахаром до пышности, влейте масло.",9
46,Шаг 2 Добавьте молоко и все сухие ингредиенты. Тщательно вымесите тесто.,9
47,Шаг 3 Добавьте нарубленный шоколад . Перемешайте.,9
