id,products_name,protein_per_100g,fat_per_100g,carb_per_100g,kcal_per_100g
1,Американская смесь Hortex замороженая ,2.4,0.5,5.1,39
2,Белые грибы Hortex замороженаые ,3.7,1.7,1.1,34
3,Белые маринованные,3,0.5,2,24
4,Белые свежие,3.7,1.7,1.1,34
5,Белые сушёные,23.4,6.4,31,282
6,Вешенки маринованные ,1,1.5,0,23
7,Вешенки свежие,2.5,0.3,6.5,38
8,Грибное ассорти 4 сезона замороженое ,2.9,0.9,13,27
9,Грибной жульен Hortex замороженый ,2.6,0.5,2.6,30
10,Грузди маринованные ,1,1.8,0,26
11,Грузди свежие,1.8,0.5,0.8,16
12,Дождевики,4.3,1,1,27
13,Еноки,2.7,0.4,0.2,42
14,Лесные грибы Hortex замороженые ,2.2,0.7,3.9,35
15,Лесные грибы Hortex с картошкой замороженные,2.6,1.5,5.5,51
16,Лисички замороженные ,1.5,1,1,19
17,Лисички свежие,1.6,1.1,2.2,20
18,Лисички сушёные,22.3,7.6,24.2,261
19,Маслята маринованные,3,0.5,1.4,18
20,Маслята свежие,2.4,0.7,1.7,19
21,Опята маринованные,1.8,1,0.4,18
22,Опята свежие,2.2,1.2,0.5,17
23,Опятки Hortex замороженные,2.2,1.2,0.8,23
24,Подберёзовики свежие,2.3,0.9,3.7,31
25,Подберёзовики сушёные,23.5,9.2,14.3,231
26,Подосиновики свежие,4.1,0.7,1.8,22
27,Подосиновики сушёные,35.4,5.4,33.2,315
28,Польский гриб,1.7,0.7,1.5,19
29,Портобелло жареные на гриле,4.3,0.8,2.7,35
30,Портобелло свежие,2.5,0.2,3.6,26
31,Рыжики свежие,1.9,0.8,2.7,17
32,Сморчки свежие,1.7,0.3,4.2,27
33,Сыроежки свежие,1.7,0.7,1.5,15
34,Трюфели свежие,5.9,0.5,5.3,51
35,Чернушки,1.5,0.3,0.1,9
36,Шампиньоны 4 сезона нарезанные замороженные,4.5,1,0.1,27
37,Шампиньоны Hortex резаные замороженные,2.6,0.4,0.5,20
38,Шампиньоны Hortex целые замороженные,2.6,0.4,0.5,20
39,Шампиньоны Бондюэль резаные замороженные,2.4,0,3.7,22
40,Шампиньоны Бондюэль целые консервированные,2.3,0.5,0.5,16
41,Шампиньоны консервированные,1.6,0.2,0.9,12
42,Шампиньоны королевские,4.6,0.4,1.3,25
43,Шампиньоны свежие,4.3,1,0.1,27
44,Шампиньоны сушеные,26.8,4.5,30,261
45,Шиитаке свежие,2.2,0.5,6.8,34
46,Шиитаке сушеные,19.3,0,63.4,331
47,Эринги,3.3,0.4,4.2,43
48,Булгур,12.3,1.3,57.6,342
49,Булгур с белыми грибами (сухой),14,2,64,330
50,Булгур Готово! с овощами (сухой),13,1.5,67,330
51,Булгур Мистраль (сухой),14.2,1.1,73.4,343
52,Булгур приготовленный,3.1,0.2,14.1,83
53,"Гарнир бурый рис, киноа и семена льна (сухой)",9.3,8.2,68.6,385
54,"Гарнир  рис, киноа, тыква (сухой)",10.6,8.6,67.3,389
55,Горох Makfa дробленый в пакетиках (сухой),23,1.5,48.1,299
56,Горох Makfa колотый (сухой),23,1.5,48.1,299
57,Горох колотый (сухой),23,1,62,350
58,Горох маш (сухой),23.5,2,50,312
59,Горох Айдахо (сухой),20.8,1.4,55.2,317
60,Горох  Орегон (сухой),20,1.5,66.4,327
61,Горох Пассим колотый (сухой),23,1.6,48.1,299
62,Готовый завтрак Nestle Kosmostars звездочки и галактики медовые (сухой),7.2,5,76.2,400
63,Гречка с белыми грибами (сухой),13,3.5,52,290
64,Гречка зелёная вареная,4,1,21,110
65,Гречка зелёная для проращивания,10.8,3.2,54.4,295
66,Гречневая каша вязкая на воде,3.2,0.8,17.1,90
67,Гречневая каша из крупы ядрица,3,3.4,14.6,101
68,Гречневая каша на молоке,4.2,2.3,21.6,118
69,Гречневая каша с маслом,4.5,2.3,25,132
70,Гречневая крупа (ядрица),12.6,3.3,62.1,313
71,Гречневая крупа (ядрица) зелёная,10.8,3.2,56,296
72,Гречневая крупа Makfa Экстра в пакетиках (сухой),13,3.5,57,310
73,Редис,1.2,0.1,3.4,19
74,Гречневая крупа зеленая (сухой),13.4,3,68,328
75,Гречневая крупа Мистраль ядрица (сухой),13.6,3.3,65,353
76,Гречневые хлопья (сухой),9,2.4,67,330
77,Гречневые хлопья Makfa (сухой),8,3,79,375
78,Гречневые хлопья Myllyn Paras (сухой),13,1.7,67.5,340
79,Гречневые хлопья Myllyn Paras для каши (сухой),13,1.7,67.5,340
80,Каша 4-х зерновая Myllyn Paras (сухой),11.4,2.8,61.1,320
81,Киноа (сухой),14.1,6.1,57.2,368
82,Киноа Мистраль (сухой),14,6,64,368
83,Крупа Увелка Дружба рис и пшено (сухой),8,1,77,350
84,Кукурузная крупа (сухой),8.3,1.2,75,337
85,Кукурузная крупа Makfa (сухой),8.3,1.2,71,328
86,Кукурузная крупа Makfa в пакетиках (сухой),8.3,1.2,71,328
87,Кукурузные хлопья (сухой),6.9,2.5,83.6,363
88,Кукурузные хлопья На здоровье Кунцево (сухой),6.5,1,89,390
89,Кус-кус приготовленный,3.8,0.2,21.8,112
90,Кус-кус сухой,12.8,0.6,72.4,376
91,Кускус (сухой),12,2.5,75,370
92,Кускус Готово! с томатами (сухой),13,1.6,73,350
93,Льняная каша Лакомства для здоровья с кэробом и кунжутом (сухой),17,37,31,500
94,Манная каша на воде,2.5,0.2,16.8,80
95,Манная каша на молоке,3,3.2,15.3,98
96,Манная крупа (сухой),10.3,1,67.4,328
97,Манная крупа Makfa (сухой),10.3,1,70.6,333
98,Манная крупа Myllyn Paras (сухой),12,2,69,348
99,Манная крупа Мистраль Семолина (сухой),14.1,1.6,69.7,348
100,Мюсли Ого! запеченные с бананом (сухой),9,18,60,460
101,Мюсли Ого! запеченные с орехом (сухой),0,20,60,470
102,Нут (сухой),20,5,66,390
103,Нут Мистраль (сухой),18.2,9.4,62.6,385
104,Овсяная каша Myllyn Paras (сухой),14,7.5,56,350
105,Овсяная каша Myllyn Paras вкус сливок с клубникой (сухой),10.2,16.6,53.9,406
106,Овсяная каша Myllyn Paras вкус сливок с малиной (сухой),10.3,14.9,54.7,394
107,Овсяная каша Myllyn Paras вкус сливок с черникой (сухой),10.7,15,58,410
108,Овсяная каша Myllyn Paras с дыней (сухой),10.8,5.8,62.8,347
109,Овсяная каша Myllyn Paras с дыней и сахаром (сухой),11.5,7.7,61.9,362
110,Овсяная каша Myllyn Paras с клубникой без сахара (сухой),11.9,7.9,56.3,353
111,Овсяная каша Myllyn Paras с клубникой и сахаром (сухой),11.9,7.9,60.8,362
112,Овсяная каша Myllyn Paras с клюквой без сахара (сухой),11.9,7.9,56.3,353
113,Овсяная каша Myllyn Paras с лесными ягодами и сахаром (сухой),11.6,7.7,61.8,363
114,Овсяная каша Myllyn Paras с малиной и сахаром (сухой),11.9,7.9,60.8,362
115,"Овсяная каша Myllyn Paras с отрубями, вишней и сливой (сухой)",15.5,7.2,50.6,333
116,"Овсяная каша Myllyn Paras с отрубями, яблоком и чёрной смородиной (сухой)",15.2,7,51.1,333
117,Овсяная каша Myllyn Paras с персиком без сахара (сухой),11.9,7.9,56.3,353
118,Овсяная каша Myllyn Paras с персиком и сахаром (сухой),11.6,7.6,60.7,357
119,Овсяная каша Myllyn Paras с тропическими фруктами (сухой),11.1,5.8,62.8,348
120,Овсяная каша Myllyn Paras с черникой без сахара (сухой),11.9,7.9,56.3,353
121,Овсяная каша Myllyn Paras с черникой и сахаром (сухой),11.6,7.7,61.7,362
122,Овсяная каша Myllyn Paras с шоколадом и апельсином (сухой),10.5,8,62.2,363
123,Овсяная каша Myllyn Paras с яблоком и брусникой (сухой),10.4,5.5,63.8,346
124,Овсяная каша Myllyn Paras Тропик с сахаром (сухой),11.7,7.8,61.8,364
125,Овсяная каша Гранд Меню Ассорти без варки (сухой),10,5,68,367
126,Овсяная каша Мистраль Малиновый мильфей (сухой),8.8,3.1,65.2,347
127,Овсяная каша Мистраль Тирамису (сухой),9.3,6.5,65.7,355
128,Овсяная каша Мистраль Черничный чизкейк (сухой),9.3,6.6,64.7,351
