id,recipe_name,preparation_time,number_of_portions,weight_portion,kcal_per_100g,protein_per_100g,fat_per_100g,carb_per_100g,image,group_id
1,Жюльен с курицей и грибами,45 мин,6,300 гр,125,12.5,9.1,3.4,https://vkusvill.ru/upload/resize/1163355/1163355_730x409x90_c.webp,2
2,Жюльен с курицей и грибами,45 мин,6,300 гр,125,12.5,9.1,3.4,https://vkusvill.ru/upload/resize/1163355/1163355_730x409x90_c.webp,3
3,Ленивая овсянка в банке на молоке с манго,10 мин,1,400 гр,126,3.1,3.7,18.8,https://vkusvill.ru/upload/resize/852972/852972_730x409x90_c.webp,1
4,Гречка с шампиньонами и луком,25 мин,2,250 гр,93,4.8,3.5,11,https://vkusvill.ru/upload/resize/1112053/1112053_730x409x90_c.webp,2
5,Гречка с шампиньонами и луком,25 мин,2,250 гр,93,4.8,3.5,11,https://vkusvill.ru/upload/resize/1112053/1112053_730x409x90_c.webp,3
6,Запеканка из макарон с фаршем,35 мин,6,300 гр,198,10.1,9.2,17.9,https://vkusvill.ru/upload/resize/1173209/1173209_730x409x90_c.webp,2
7,Запеканка из макарон с фаршем,35 мин,6,300 гр,198,10.1,9.2,17.9,https://vkusvill.ru/upload/resize/1173209/1173209_730x409x90_c.webp,3
8,Куриный суп с плавленым сыром,45 мин,8,250 гр,122.3,15.6,5.1,3.7,https://vkusvill.ru/upload/resize/869718/869718_730x409x90_c.webp,2
9,Шоколадные маффины,15 мин,8,100 гр,332,5.2,14,47.6,https://vkusvill.ru/upload/resize/1135226/1135226_730x409x90_c.webp,4
10,Десерт с ряженкой,25 мин,4,195 гр,107,4,7,8,https://vkusvill.ru/upload/resize/910323/910323_730x409x90_c.webp,4
11,Чиа-пуддинг манго-малина на кокосовом молоке,10 мин,2,250 гр,158,8,9,11,https://vkusvill.ru/upload/resize/158449/158449_730x409x70_c.webp,1
12,Чиа-пуддинг манго-малина на кокосовом молоке,10 мин,2,250 гр,158,8,9,11,https://vkusvill.ru/upload/resize/158449/158449_730x409x70_c.webp,4
13,Свинина с сыром и помидорами в сметанном соусе,35 мин,4,200 гр,198,9.9,16.5,2.2,https://vkusvill.ru/upload/resize/1135201/1135201_730x409x90_c.webp,2
14,Свинина с сыром и помидорами в сметанном соусе,35 мин,4,200 гр,198,9.9,16.5,2.2,https://vkusvill.ru/upload/resize/1135201/1135201_730x409x90_c.webp,3
15,Запечённая форель с брокколи,20 мин,3,300 гр,133,12,6,8,https://vkusvill.ru/upload/resize/1087805/1087805_730x409x90_c.webp,2
16,Запечённая форель с брокколи,20 мин,3,300 гр,133,12,6,8,https://vkusvill.ru/upload/resize/1087805/1087805_730x409x90_c.webp,3
17,Карп в сметане на подушке из овощей,35 мин,6,300 гр,176,14,13,4,https://vkusvill.ru/upload/resize/886308/886308_730x409x90_c.webp,2
18,Карп в сметане на подушке из овощей,35 мин,6,300 гр,176,14,13,4,https://vkusvill.ru/upload/resize/886308/886308_730x409x90_c.webp,3
19,Блины на минералке,40 мин,4,350 гр,212,5,12,20,https://vkusvill.ru/upload/resize/632076/632076_730x409x90_c.webp,1
20,ПП сырники,20 мин,1,200 гр,133,17,1,14,https://vkusvill.ru/upload/resize/629131/629131_730x409x90_c.webp,1
21,Пышные творожные сырники,25 мин,2,200 гр,185,11,10,25,https://vkusvill.ru/upload/resize/449165/449165_730x409x70_c.webp,1
22,Ленивые вареники с вишней,35 мин,2,150 гр,200,11,6,26,https://vkusvill.ru/upload/resize/468578/468578_730x409x70_c.webp,1
23,Авокадо-тост с яйцом и творожным сыром,15 мин,2,200 гр,157,6,9,12,https://vkusvill.ru/upload/resize/400516/400516_1200x600x70_c.webp,1
24,Суп из чечевицы,40 мин,4,300 гр,98,6,2,14,https://vkusvill.ru/upload/resize/67068/67068_730x409x70_c_o.webp,2
25,Горячий тост с курицей и сыром,10 мин,2,200 гр,177,15,8,13,https://vkusvill.ru/upload/resize/365441/365441_730x409x70_c.webp,1
26,Вафли яблочные,40 мин,3,200  гр,201,5,2,41,https://vkusvill.ru/upload/resize/186373/186373_730x409x70_c.webp,1
27,"Смузи с морковью, сельдереем, яблоком",10 мин,2,250 гр,44,2,2,5,https://vkusvill.ru/upload/resize/1014195/1014195_730x409x90_c.webp,4
28,Цельнозерновой смузи с бананом,5 мин,1,250 гр,87,3,3,12,https://vkusvill.ru/upload/resize/852263/852263_730x409x90_c.webp,4
